CUSTOMERNAME,SALES,QUANTITYORDERED,Contact Name,PHONE,Address1,COUNTRY
Bob,2817,31,David Johnson,370-271-6614,Street N,India
Alice,2945,2,Ivy Lee,564-710-2127,Street O,India
Eva,4511,24,Helen Johnson,335-487-7315,Street C,France
David,1717,22,Frank Lee,235-211-1271,Street D,UK
David,4158,44,Helen Lee,307-635-9263,Street E,Canada
Charlie,4912,8,Bob Patel,800-529-3450,Street A,France
Bob,4467,27,Helen Brown,720-198-3906,Street P,Japan
Ivy,3327,38,Helen Smith,587-729-1639,Street L,India
Bob,3223,20,Frank Patel,998-902-9706,Street J,France
Jack,4951,47,Bob Johnson,615-870-2925,Street W,UK
Grace,3590,45,Eva Smith,195-593-3135,Street L,Australia
Alice,4230,41,Alice Brown,717-652-1019,Street E,Canada
Alice,3136,2,Bob Patel,893-794-8069,Street O,Australia
Bob,2045,39,Alice Lee,634-530-7068,Street T,Germany
David,2456,31,Frank Johnson,995-144-9680,Street Q,Japan
David,3637,17,Bob Patel,539-334-8899,Street Y,Japan
Ivy,2413,42,Charlie Patel,908-887-7246,Street K,India
Jack,3865,50,David Smith,458-703-2600,Street F,Japan
Alice,857,38,Ivy Johnson,535-237-5170,Street W,France
Ivy,3106,37,Charlie Johnson,588-884-4809,Street J,India
David,4374,15,Ivy Johnson,979-185-5641,Street A,Canada
Ivy,3623,47,Charlie Smith,712-997-9908,Street X,India
Grace,3662,4,Frank Johnson,518-363-4096,Street D,Australia
David,1746,38,Ivy Smith,105-826-1116,Street H,UK
Helen,4557,31,Grace Lee,691-635-2930,Street E,India
Jack,803,11,Helen Smith,632-107-7144,Street W,India
Eva,1534,34,David Brown,770-310-6175,Street E,Canada
Alice,4614,41,Grace Johnson,518-470-2746,Street W,USA
Charlie,3219,47,Charlie Brown,258-536-5155,Street H,Australia
Grace,1322,40,Charlie Brown,367-975-9783,Street J,Japan
Frank,4106,50,Grace Lee,533-678-6990,Street E,Germany
Eva,1316,25,Grace Patel,726-382-7511,Street G,UK
Charlie,4808,10,Alice Lee,873-308-7770,Street E,Japan
David,4243,44,Jack Smith,665-902-8904,Street C,Canada
Frank,625,16,David Smith,283-479-8925,Street N,France
Bob,1680,3,Helen Johnson,359-414-6641,Street W,Japan
Bob,3858,37,Jack Brown,892-822-7522,Street Y,India
Grace,1764,45,Grace Lee,853-241-2951,Street Z,Canada
Bob,1112,8,Grace Patel,865-335-8317,Street D,Japan
Frank,4346,13,Alice Lee,901-816-3650,Street C,France
Frank,2671,2,David Johnson,202-319-9328,Street A,UK
Jack,3273,29,David Lee,510-904-6544,Street Y,UK
Eva,3756,21,Eva Patel,920-663-1852,Street P,France
Alice,1157,27,Bob Patel,264-498-1086,Street Y,Germany
Helen,3191,10,Jack Brown,923-193-3381,Street N,India
Ivy,4871,27,Bob Brown,582-714-8133,Street B,France
Bob,3613,45,Ivy Johnson,190-165-5310,Street G,USA
Grace,3094,14,Charlie Brown,327-479-2311,Street D,Canada
Bob,4497,27,Frank Smith,723-138-7296,Street B,USA
